last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_bikes_available,eightd_has_available_keys,num_docks_available,station_id,station_status,is_returning,num_docks_disabled,is_renting,legacy_id
86400,0,0,0,0,False,0,464,out_of_service,0,0,0,464
86400,0,0,0,0,False,0,465,out_of_service,0,0,0,465
1670181577,1,0,0,9,False,2,466,active,0,0,0,466
1670181091,1,1,0,9,False,1,467,active,1,0,1,467
1670182068,1,0,0,13,False,2,468,active,1,0,1,468
1670218838,1,0,0,4,False,7,469,active,1,0,1,469
1670147957,1,0,0,3,False,8,470,active,1,0,1,470
1670217900,1,0,0,0,False,27,471,active,1,0,1,471
1670211575,1,0,0,0,False,27,472,active,1,0,1,472
1670178255,1,1,0,9,False,4,473,active,1,0,1,473
1670179164,1,1,0,10,False,0,474,active,1,0,1,474
1670199248,1,0,0,1,False,10,475,active,1,0,1,475
1670191881,1,2,0,29,False,0,476,active,1,0,1,476
86400,0,0,0,0,False,0,477,out_of_service,0,0,0,477
1670209709,1,2,0,11,False,6,478,active,1,0,1,478
1670210535,1,0,0,0,False,19,479,active,1,0,1,479
1670203486,1,0,0,3,False,8,480,active,1,0,1,480
1670190475,1,0,0,16,False,3,481,active,1,0,1,481
1670147955,1,0,0,11,False,0,482,active,1,0,1,482
1670217509,1,0,0,17,False,0,483,active,1,0,1,483
1670173974,1,0,0,10,False,1,484,active,1,0,1,484
1670168675,1,0,0,9,False,2,485,active,1,0,1,485
1670177354,1,0,0,7,False,4,486,active,1,0,1,486
1670193172,1,0,0,14,False,5,487,active,1,0,1,487
1670213074,1,0,0,15,False,1,488,active,1,0,1,488
1670213722,1,0,0,5,False,11,489,active,1,0,1,489
1670180532,1,2,0,11,False,5,490,active,1,0,1,490
1670205927,1,2,0,16,False,1,491,active,1,0,1,491
1670210455,1,2,0,4,False,9,492,active,1,0,1,492
1670147639,1,0,0,11,False,6,493,active,1,0,1,493
1670206352,1,0,0,7,False,4,494,active,1,0,1,494
1670207756,1,0,0,16,False,3,495,active,1,0,1,495
1670196673,1,0,0,12,False,7,496,active,1,0,1,496
1670210848,1,0,0,13,False,2,497,active,1,0,1,497
1670211314,1,0,0,0,False,15,498,active,1,0,1,498
1670215417,1,0,0,14,False,5,499,active,1,0,1,499
1670200033,1,2,0,6,False,3,502,active,1,0,1,502
1670147959,1,0,0,7,False,5,503,active,1,0,1,503
1670195787,1,0,0,4,False,7,504,active,1,0,1,504
1670174496,1,0,0,10,False,1,505,active,1,0,1,505
1670147959,1,0,0,3,False,8,506,active,1,0,1,506
1670167779,1,0,0,8,False,3,507,active,1,0,1,507
1670214305,1,0,0,7,False,4,508,active,1,0,1,508
1670182139,1,0,0,8,False,4,509,active,1,0,1,509
86400,0,0,0,0,False,0,510,out_of_service,0,0,0,510
86400,0,0,0,0,False,0,511,out_of_service,0,0,0,511
86400,0,0,0,0,False,0,512,out_of_service,0,0,0,512
1670147960,1,0,0,12,False,0,513,active,1,0,1,513
1670191786,1,0,0,14,False,5,514,active,1,0,1,514
1670215397,1,1,0,13,False,5,515,active,1,0,1,515
86400,0,0,0,0,False,0,516,out_of_service,0,0,0,516
86400,0,0,0,0,False,0,517,out_of_service,0,0,0,517
1670147961,1,0,0,5,False,5,518,active,1,1,1,518
1670192485,1,0,0,6,False,5,519,active,1,0,1,519
1670147960,1,0,0,5,False,8,520,active,1,0,1,520
1670177333,1,0,0,6,False,5,521,active,1,0,1,521
1670192946,1,0,0,11,False,4,522,active,1,0,1,522
1670209336,1,0,0,0,False,17,523,active,1,0,1,523
1670206413,1,0,0,9,False,6,524,active,1,0,1,524
1670159064,1,0,0,4,False,8,525,active,1,0,1,525
1670147960,1,0,0,15,False,0,526,active,1,0,1,526
1670147959,1,1,0,4,False,8,527,active,1,0,1,527
1670204924,1,0,0,7,False,4,528,active,1,0,1,528
1670207686,1,0,0,2,False,14,529,active,1,0,1,529
1670217019,1,0,0,15,False,4,530,active,1,0,1,530
1670209999,1,0,0,4,False,11,531,active,1,0,1,531
1670202009,1,0,0,15,False,4,532,active,1,0,1,532
1670208518,1,0,0,9,False,10,533,active,1,0,1,533
86400,0,0,0,0,False,0,534,out_of_service,0,0,0,534
1670181181,1,0,0,11,False,4,535,active,1,0,1,535
1670147961,1,0,0,0,False,18,536,active,1,0,1,536
1670219884,1,0,0,4,False,15,538,active,1,0,1,538
1670175323,1,0,0,11,False,8,539,active,1,0,1,539
1670153839,1,0,0,3,False,8,540,active,1,0,1,540
1670190193,1,0,0,8,False,3,541,active,1,0,1,541
86400,0,0,0,0,False,0,542,out_of_service,0,0,0,542
1667850340,0,0,0,0,False,18,543,out_of_service,0,0,0,543
1670218186,1,1,0,11,False,3,544,active,1,0,1,544
1670182341,1,1,0,9,False,5,545,active,1,0,1,545
1670185888,1,0,0,5,False,11,546,active,1,0,1,546
1670147963,1,0,0,3,False,15,547,active,1,0,1,547
1670196522,1,3,0,4,False,11,548,active,1,0,1,548
1670214571,1,1,0,14,False,9,549,active,1,0,1,549
1670147962,1,0,0,0,False,17,550,active,1,0,1,550
1670216241,1,0,0,10,False,13,553,active,1,0,1,553
1670216284,1,0,0,4,False,11,554,active,1,0,1,554
1670147959,1,0,0,7,False,8,555,active,1,0,1,555
1670147959,1,0,0,8,False,11,556,active,1,0,1,556
1670210319,1,0,0,9,False,10,557,active,1,0,1,557
1670218560,1,0,0,3,False,15,558,active,1,0,1,558
86400,1,0,0,0,False,0,559,active,1,0,1,559
1670147964,1,0,0,5,False,10,560,active,1,0,1,560
1670198768,1,0,0,6,False,13,561,active,1,0,1,561
1670147963,1,0,0,0,False,9,562,active,1,0,1,562
86400,0,0,0,0,False,0,563,out_of_service,0,0,0,563
1670194536,1,0,0,7,False,12,564,active,1,0,1,564
1670188089,1,0,0,6,False,13,565,active,1,0,1,565
1670204536,1,0,0,0,False,23,566,active,1,0,1,566
86400,0,0,0,0,False,0,567,out_of_service,0,0,0,567
1670207697,1,0,0,1,False,18,568,active,1,0,1,568
1670192727,1,0,0,17,False,6,569,active,1,0,1,569
1670147965,1,0,0,7,False,4,570,active,1,0,1,570
1670176461,1,0,0,9,False,2,571,active,1,0,1,571
1670147965,1,0,0,10,False,1,572,active,1,0,1,572
1670192024,1,0,0,6,False,5,573,active,1,0,1,573
1670147966,1,0,0,4,False,5,574,active,1,0,1,574
1670147965,1,0,0,9,False,2,575,active,1,0,1,575
1670214876,1,0,0,5,False,6,576,active,1,0,1,576
1670189445,1,0,0,10,False,1,577,active,1,0,1,577
1670217790,1,0,0,2,False,9,578,active,1,0,1,578
1670219113,1,1,0,17,False,1,582,active,1,0,1,582
1670202325,1,0,0,0,False,19,583,active,1,0,1,583
1670188825,1,0,0,5,False,6,584,active,1,0,1,584
1670175815,1,0,0,7,False,4,585,active,1,0,1,585
1670218321,1,0,0,5,False,9,586,active,1,0,1,586
1670190531,1,0,0,8,False,3,587,active,1,0,1,587
1670191601,1,0,0,6,False,5,589,active,1,0,1,589
1670212409,1,0,0,7,False,12,590,active,1,0,1,590
1670201265,1,0,0,7,False,12,591,active,1,0,1,591
